Date,Employee_ID,Task_Name,Task_Duration(min),Tasks_Completed,Errors
2026-09-11,E001,Task,222,5,2
2026-09-12,E001,Task,157,5,0
2026-09-13,E001,Task,212,1,3
2026-09-14,E001,Task,214,2,0
2026-09-15,E001,Task,198,3,3
2026-09-16,E001,Task,77,4,2
2026-09-17,E001,Task,75,3,0
2026-09-18,E001,Task,138,2,1
2026-09-19,E001,Task,180,3,0
2026-09-20,E001,Task,212,2,2
2026-09-21,E001,Task,180,3,2
2026-09-22,E001,Task,74,3,3
2026-09-23,E001,Task,214,1,2
2026-09-24,E001,Task,115,4,3
2026-09-25,E001,Task,220,5,3
2026-09-26,E001,Task,205,3,1
2026-09-27,E001,Task,66,3,1
2026-09-28,E001,Task,110,1,3
2026-09-29,E001,Task,165,5,2
2026-09-30,E001,Task,157,3,1
2026-10-01,E001,Task,142,4,0
2026-10-02,E001,Task,157,3,2
2026-10-03,E001,Task,158,1,3
2026-10-04,E001,Task,63,5,2
2026-10-05,E001,Task,178,3,2
2026-10-06,E001,Task,228,2,0
2026-10-07,E001,Task,100,1,2
2026-10-08,E001,Task,112,4,3
2026-10-09,E001,Task,225,1,0
2026-10-10,E001,Task,96,4,0
2026-10-11,E001,Task,106,1,0
2026-10-12,E001,Task,229,4,0
2026-10-13,E001,Task,73,5,0
2026-10-14,E001,Task,89,3,3
2026-10-15,E001,Task,140,4,1
2026-10-16,E001,Task,205,5,1
2026-10-17,E001,Task,229,2,1
2026-10-18,E001,Task,199,1,2
2026-10-19,E001,Task,91,5,2
2026-10-20,E001,Task,99,5,2
2026-10-21,E001,Task,206,3,1
2026-10-22,E001,Task,79,1,2
2026-10-23,E001,Task,163,1,0
2026-10-24,E001,Task,156,5,3
2026-10-25,E001,Task,174,1,0
2026-10-26,E001,Task,226,2,3
2026-10-27,E001,Task,237,4,3
